,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,a1,a2,a3,a4,a5,a6,a7
28,autumn,small,high,6.8,11.1,9,0.63,20,4,NA,2.7,30.3,1.9,0,0,2.1,1.4,2.1
38,spring,small,high,8,NA,1.45,0.81,10,2.5,3,0.3,75.8,0,0,0,0,0,0
48,winter,small,low,NA,12.6,9,0.23,10,5,6,1.1,35.5,0,0,0,0,0,0
55,winter,small,high,6.6,10.8,NA,3.245,10,1,6.5,NA,24.3,0,0,0,0,0,0
56,spring,small,medium,5.6,11.8,NA,2.22,5,1,1,NA,82.7,0,0,0,0,0,0
57,autumn,small,medium,5.7,10.8,NA,2.55,10,1,4,NA,16.8,4.6,3.9,11.5,0,0,0
58,spring,small,high,6.6,9.5,NA,1.32,20,1,6,NA,46.8,0,0,28.8,0,0,0
59,summer,small,high,6.6,10.8,NA,2.64,10,2,11,NA,46.9,0,0,13.4,0,0,0
60,autumn,small,medium,6.6,11.3,NA,4.17,10,1,6,NA,47.1,0,0,0,0,1.2,0
61,spring,small,medium,6.5,10.4,NA,5.97,10,2,14,NA,66.9,0,0,0,0,0,0
63,autumn,small,high,7.83,11.7,4.083,1.328,18,3.333,6.667,NA,14.4,0,0,0,0,0,0
116,winter,medium,high,9.7,10.8,0.222,0.406,10,22.444,10.111,NA,41,1.5,0,0,0,0,0
161,spring,large,low,9,5.8,NA,0.9,142,102,186,68.05,1.7,20.6,1.5,2.2,0,0,0
184,winter,large,high,8,10.9,9.055,0.825,40,21.083,56.091,NA,16.8,19.6,4,0,0,0,0
